Ride_ID;Driver_ID;Customer_ID;Driver_Name;Pickup_Location;Dropoff_Location;Ride_Start_Time;Ride_End_Time;Ride_Fare;Day_of_Week;Hour_of_Day;Peak_Hours;Driver_Rating;Past_Cancellations;Weather_Condition;Traffic_Condition;Cancellation_Reason;Cancellation_Status
ada3b741-909b-41cf-8759-032ef5962aaf;1001;2001;Michael Brown;Lake Meganbury;New Jasonbury;2025-01-01 06:18:03;2025-01-01 11:48:52;63,67;Wednesday;6;0;4,1;0;Rainy;Low;Traffic conditions;Cancelled
8e5e6454-ff0f-48ca-8d47-5366dec5e3af;1002;2002;Laura Thomas;Lake Thomas;Stephaniemouth;2025-01-01 11:40:09;2025-01-01 11:40:09;25,04;Wednesday;11;0;4,9;0;Rainy;Medium;Customer no-show;Cancelled
8ce91111-e570-4d41-9e62-da257f9a3e59;1003;2003;Jessica Martinez;Davidview;Michaelfurt;2025-01-01 08:42:10;2025-01-01 11:56:48;44,7;Wednesday;8;1;4,6;2;Rainy;High;Driver requested offline trip;Cancelled
c7809159-3986-4ce1-9a40-c16780db371f;1004;2004;Sarah Davis;East Harryshire;Martinburgh;2025-01-01 07:38:53;2025-01-01 12:47:39;34,19;Wednesday;7;1;4,4;4;Rainy;High;Customer no-show;Completed
93e79443-bf3e-411d-99c9-6edc21d3b4bf;1005;2005;Sophia Harris;Rogerschester;New Bruce;2025-01-01 10:36:31;2025-01-01 10:36:31;59,08;Wednesday;10;1;3,7;4;Foggy;Medium;Driver requested offline trip;Completed
9180eae8-4f8a-4a06-afcf-91e93500a914;1006;2006;Sophia Harris;North Veronica;West Annefurt;2025-01-01 02:41:24;2025-01-01 04:16:51;98,78;Wednesday;2;0;3,7;2;Stormy;Low;Traffic conditions;Completed
2eb97e86-6251-4f80-badc-a659b5624c23;1007;2007;Laura Thomas;Davidmouth;North Gregory;2025-01-01 02:10:37;2025-01-01 05:59:57;43,57;Wednesday;2;0;3,6;3;Foggy;Low;Customer no-show;Completed
2facf825-a87a-4e38-a15b-761c8bb625cb;1008;2008;Sarah Davis;North Carolinetown;New Keith;2025-01-01 03:54:47;2025-01-01 06:08:43;10,75;Wednesday;3;0;4,8;0;Stormy;Low;;Cancelled
7270c917-82ea-4e47-8334-0a6b875f2844;1009;2009;Jessica Martinez;South Ryanborough;New Katrina;2025-01-01 12:12:47;2025-01-01 12:12:47;54,69;Wednesday;12;0;4,4;0;Stormy;Medium;;Completed
2330b040-87ea-427e-9cfe-001b54cafb06;1010;2010;John Smith;Copelandbury;East Carrieside;2025-01-01 05:02:05;2025-01-01 12:25:40;66,64;Wednesday;5;0;4,6;2;Stormy;Low;Customer no-show;Completed
