Ride_ID,Driver_ID,Customer_ID,Pickup_Location,Dropoff_Location,Ride_Start_Time,Ride_End_Time,Cancellation_Status,Cancellation_Reason,Ride_Fare,Day_of_Week,Hour_of_Day,Peak_Hours,Driver_Rating,Past_Cancellations,Weather_Condition,Traffic_Condition,Driver_Name
7a6bc8ab-5ca4-434c-a555-67673eb51fad,5776,6776,Jeremymouth,Patrickstad,2025-01-01 01:50:04,2025-01-01 02:03:39,Completed,,14.31,Wednesday,1,0,4.7,3,Foggy,Low,Emily Johnson
d0119f16-b680-481b-813a-4e26b9f8190d,1928,2928,Lake Danielle,East Tony,2025-01-01 08:10:20,2025-01-01 08:10:20,Completed,Driver requested offline trip,94.35,Wednesday,8,1,4.3,2,Clear,High,James White
89657218-497a-4b22-b01e-6f29cd4baa23,4259,5259,Chadfurt,Nicholsview,2025-01-01 05:42:46,2025-01-01 08:26:57,Completed,,60.89,Wednesday,5,0,4.1,3,Clear,Low,Emily Johnson
4e43a96a-7f9b-4208-b53f-cf51da2bcb3a,1046,2046,Matthewmouth,Kristaburgh,2025-01-01 03:35:55,2025-01-01 03:35:55,Completed,Driver requested offline trip,54.18,Wednesday,3,0,4.5,1,Stormy,Low,David Wilson
fb3de8f2-6ec7-430b-b49d-d8c83ef69238,2261,3261,New Kimberlyfort,East Kathyfort,2025-01-01 04:44:35,2025-01-01 07:21:39,Completed,,10.52,Wednesday,4,0,3.9,5,Foggy,Low,John Smith
4bcd036d-4998-4743-964a-ca8e753dd779,2097,3097,West Daniel,New Dana,2025-01-01 10:25:42,2025-01-01 10:25:42,Completed,Driver requested offline trip,47.54,Wednesday,10,1,3.8,1,Foggy,Medium,John Smith
7101b74a-1863-411d-a29b-d2d945ef707d,2444,3444,Lopezside,Nicolasport,2025-01-01 01:36:29,2025-01-01 01:36:29,Completed,Driver requested offline trip,57.63,Wednesday,1,0,4.2,1,Rainy,Low,James White
c8c8e7bf-15d5-4f90-b50b-155c60ae8b50,3108,4108,North Michelle,Lake Kristina,2025-01-01 01:51:20,2025-01-01 02:18:27,Completed,Customer no-show,81.93,Wednesday,1,0,4.9,2,Foggy,Low,John Smith
c1d3076b-17ea-4971-85f5-c05c13b51867,6004,7004,New Denisehaven,Timmouth,2025-01-01 10:17:49,2025-01-01 10:17:49,Completed,Driver requested offline trip,49.32,Wednesday,10,1,4.0,0,Rainy,Medium,John Smith
80ad0798-b12b-4ce9-a607-2a1eb6a24f72,2188,3188,Andersonchester,East Denisestad,2025-01-01 09:45:05,2025-01-01 11:26:35,Completed,Driver requested offline trip,13.67,Wednesday,9,1,3.6,1,Foggy,High,Daniel Anderson
e37a08df-032a-4286-9d50-fb8bec0483fd,6094,7094,Kennethborough,Georgefort,2025-01-01 11:00:12,2025-01-01 11:00:12,Completed,Driver requested offline trip,81.91,Wednesday,11,0,3.7,4,Stormy,Medium,Sarah Davis
1b3a65ac-12e5-440e-87d4-e369f20d1d49,4788,5788,West Charlotteborough,Kathleenside,2025-01-01 09:44:03,2025-01-01 09:44:03,Completed,Driver requested offline trip,96.25,Wednesday,9,1,4.2,1,Stormy,High,Sophia Harris
78d847bd-78e5-46a1-93d0-2ede5a176993,2031,3031,Smithton,Lopezbury,2025-01-01 01:07:06,2025-01-01 01:07:06,Completed,Driver requested offline trip,14.67,Wednesday,1,0,3.6,0,Clear,Low,David Wilson
